YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
"",,,,,,,Number,,,,,
2021,"6,932","6,907","6,892","6,845",,,,,,,,
2020,"7,292","7,258","7,228","7,198","7,168","7,123","7,079","7,049","7,026","7,003","6,966","6,949"
2019,"8,110","8,046","7,983","7,898","7,808","7,722","7,661","7,619","7,559","7,476","7,392","7,337"
2018,"8,801","8,760","8,719","8,649","8,595","8,517","8,463","8,419","8,372","8,304","8,217","8,163"
2017,"9,304","9,288","9,261","9,236","9,167","9,106","9,046","9,021","8,970","8,938","8,877","8,839"
2016,"9,695","9,678","9,618","9,601","9,566","9,517","9,494","9,470","9,447","9,406","9,360","9,343"
2015,"10,081","10,051","10,028","9,992","9,929","9,900","9,878","9,848","9,825","9,793","9,737","9,711"
2014,"10,541","10,498","10,460","10,407","10,334","10,296","10,254","10,209","10,186","10,157","10,136","10,106"
2013,"11,155","11,119","11,096","11,023","10,915","10,853","10,803","10,762","10,721","10,665","10,632","10,581"
2012,"11,761","11,715","11,672","11,637","11,562","11,518","11,482","11,440","11,378","11,324","11,260","11,175"
2011,"12,431","12,378","12,342","12,259","12,167","12,092","12,018","11,993","11,957","11,916","11,855","11,786"
2010,"12,929","12,892","12,872","12,836","12,770","12,723","12,705","12,668","12,621","12,567","12,502","12,467"
2009,"13,448","13,399","13,340","13,294","13,219","13,175","13,110","13,078","13,037","13,009","12,965","12,930"
2008,"13,962","13,941","13,918","13,886","13,807","13,740","13,697","13,635","13,603","13,567","13,525","13,478"
2007,"14,396","14,348","14,313","14,265","14,208","14,124","14,095","14,060","14,059","14,042","14,012","13,989"
2006,"14,861","14,843","14,827","14,779","14,717","14,638","14,597","14,572","14,521","14,490","14,450","14,405"
2005,"15,316","15,274","15,242","15,213","15,142","15,087","15,057","15,041","15,007","14,974","14,936","14,894"
2004,"15,904","15,838","15,797","15,700","15,591","15,550","15,488","15,464","15,444","15,413","15,369","15,344"
2003,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"16,264","16,206","16,118","16,010","15,948"
